X,Y,AGENCY_NAM,AGENCY_N_1,ADDRESS,PROGRAM
-77.463958,38.785589,Tried Stone Church,,104 Pierce St,Shopping
-77.55735979,38.7831252,House of Mercy,,8170 Flannery Court,Shopping & Direct Distribution
-76.8864805,38.7834797,"Behold I Come Quickly, International",,6907-A Old Alexandria Ferry Road,Shopping
-77.2342887,38.7825597,Messiah United Methodist Church,,6215 Rolling Road,Shopping
-77.49684299,38.781051,West Gate Elementary,,8031 Urbanna Rd.,Direct Distributions
-77.14442839,38.7819772,"Koinonia Foundation, INC",,6037 Franconia Road,Shopping
-77.1963408,38.7796373,First Baptist Church of Springfield,,7300 Gary Street,Shopping
-76.87227329,38.7787658,GLOW,,7708 Old Alexandria Ferry Road,Shopping
-77.441234,38.777969,Manassas Park High School,,8200 Euclid Ave.,Direct Distributions
-77.19242829,38.7776819,ECHO INC.,,7205 Old Keene Mill Road,Shopping
-77.18747099,38.775891,Terry House (Pathway House ),,6515 Terry Drive,Shopping
-77.07988689,38.7758598,Groveton Baptist Church,,6511 Richmond Highway,Shopping
-77.28346499,38.774685,Calvary Christian Church,,9800 Old Keene Mill Road,Shopping
-77.0139557,38.7743031,Fort Foote Baptist Church,,8310 Fort Foote Road,Shopping
-77.15282909,38.7705634,Springfield Spanish Seventh-day Adventist Congregation,,6731 Beulah Street,Shopping
-76.8953738,38.7666692,Still I Rise,,9015 Woodyard Road,Shopping
-77.45675609,38.7643073,Iglesia de Dios Pentecostal El Arbol de la Vida,,8618 Phoenix Dr.,Shopping
-77.47844099,38.764184,St. Thomas United Methodist Church,,8899 Sudley Road,Shopping & Direct Distribution
-77.45650299,38.763775,Yeshua Church of God in Christ INC.,,8675 Phoenix Dr,Shopping & Direct Distribution
-77.4491875,38.7616241,The St. Lucy Project,,8426-28 Kao Circle,Direct Distributions
-76.92153929,38.7611181,Clinton Grove,,9420 Temple Hill Road,Direct Distributions
-76.918325,38.760484,The First New Horizon CDC,,9511 Piscataway Road,Shopping
-77.45926839,38.7595661,Core Community Development Group(City of Refuge),,8783 Commerce Court,Shopping
-76.91623799,38.758901,Greater Refuge Ministries,,9510 Piscataway Road,Shopping & Direct Distribution
-77.08980889,38.7586153,Hybla Valley Elementary School,,3415 Lockeed Blvd,Direct Distributions
-77.2394539,38.7563295,Sydenstricker UMC,,8508 Hooes Road,Shopping
-77.00095719,38.7556527,Fort Washington Food Pantry,,9801 Livingston Road,Shopping & Direct Distribution
-77.015296,38.755209,Uplift Individuals in Christ,,9808 Tribonian Dr.,Shopping
-77.47191999,38.753298,The Wall,,18630 Mathis  Avenue,Direct Distributions
-76.92235639,38.7538684,Mount Ennon Baptist Church,,9832 Piscataway Road,Shopping
-77.08516109,38.7537763,United Community Ministry,,7511 Fordson Road,Shopping & Direct Distribution
-77.47196849,38.7516032,Bull Run Unitarian Universalists,,9350 Main Street,Shopping
-77.221363,38.75166,CNP Fabiola Salinas,,8004 Orange Plank Road,Shopping
-77.08200799,38.747074,Woodlawn United Methodist Church,,7730 Fordson Road,Shopping
-77.50043499,38.744735,SERVE,,10056 Dean Dr,Shopping & Direct Distribution
-77.4913802,38.743018,Manassas Boys & Girls Club,,9501 Dean Park Ln,Direct Distributions
-76.99266579,38.7417231,Daughter for the Day Inc.,,10903 Indian head highway,Direct Distributions
-77.0858414,38.7411646,Greater Morning Star Apostolic Church,,7929 Richmond Highway,Shopping
-77.116882,38.740586,CNP- Zube Jalil,,7929 Fitzroy St,Shopping
-77.000035,38.7395926,Breath of Life SDA,,11310 Fort Washington Road,Shopping
-77.09328559,38.7394837,Stony Brook,,3600 Buckman Road,Direct Distributions
-77.11550899,38.738997,CNP Beatrice Odediran,,8009 Frye Rd,Shopping
-77.084667,38.738252,Gum Springs Community Center,,8100 Fordson Road,Direct Distributions
-77.21541,38.737404,CNP Carla Maldonado,,8080 Tributary Ct.,Shopping
-77.21304599,38.73647,CNP Laura T. Mendoza,,7803 Braemar Way,Shopping
-77.1886925,38.7361199,Sup of The Lord  Ministries,,8196-0 Terminal Road,Shopping
-77.09686139,38.7357277,Revival Baptist Ministries INT,,8174 Richmond Hwy,Shopping
-77.10159159,38.7340284,Rising Hope Methodist Mission Church,,8220 Russell Road,Shopping & Direct Distribution
-77.1085969,38.728212,New Hope Housing Kennedy,,8407  Richmond Hwy,Shopping
-77.109005,38.72315899,CNP- Zubair,,8632 Gateshead Road,Shopping
-77.13644739,38.7230566,Church of Christ at Mt. Vernon,,8607 Jeff Todd Way,Shopping
-76.89288599,38.722648,Salvation Ministries,,12112 Brandywine Road,Shopping
-77.12483939,38.7208342,Ministerio Pentecostal Cristo Vive,,8728 Richmond Hwy,Shopping
-77.12579299,38.7206057,Recovery Program Solutions of Virginia,,8794- S Sacramento Drive,Shopping
-76.98513189,38.720591,Victory Outreach,,12304 Livingston Road,Direct Distributions
-77.205911,38.718677,CNP Patricia Bellot - Mureno,,8803 Sylvania CT,Shopping
-76.87066909,38.7017308,Gwynn Park High School,,13800 Brandywine Road,Direct Distributions
-77.149493,38.7013186,Fort Belvoir,,9455 Jackson Loop Bld. 1415,Direct Distributions
-76.87454339,38.7010659,New Nations Worship Ministries,,7611 Accokeek Road,Shopping
-77.21405569,38.6994115,Lorton Community Action Center,,9518 Richmond Hwy,Shopping & Direct Distribution
-77.5752888,38.6828647,Nokesville United Methodist Church,,12550 Aden Road,Shopping
-77.2798148,38.6750356,Lake Ridge Fellowship House,,12800 Harbor Dr.,Direct Distributions
-77.26400599,38.675067,Grace Star Ministries,,1680 Old Bridge Road,Shopping
-77.25968669,38.6730884,Holiness Tabernacle Church of God in Christ,,1440 Old Bridge Road,Shopping & Direct Distribution
-77.336271,38.672827,Church on The Move INC.,,13061 Touchstone Cir.,Shopping
-77.26279909,38.671754,Iglesia Pentecostes Macedonia,,1529 Old Bridge Road,Shopping
-77.01299949,38.6705812,"River Jordan, Inc.",,"15809 Livingston Road,",Shopping
-77.0060573,38.66997,Community Support Systems Inc ACCOKEEK,,15769 Livingston Rd.,Shopping
-77.27429999,38.6676519,CNP Provider Eguez,,13134 Drew Hunt Ct.,Shopping
-77.33504539,38.6664802,Church of Christ of Dale City,,13130 Hillendale Drive,Shopping
-77.25699419,38.6636469,St. Paul United Methodist Church,,1400 G Street,Shopping
-76.77223599,38.660829,Community Support Systems Inc BADEN,,13500 Baden Westwood Rd,Shopping
-77.25186799,38.653137,Holly Acres,,13721 Jefferson Davis Highway,Direct Distributions
-77.25984199,38.652106,Marumsco Trailer Park,,13950 Jefferson Davis Highway,Direct Distributions
-77.26163619,38.6505754,Iglesia Pentecostal Trono de Jehova,Streetlight Community Outreach Ministries,1550 Prince William Pkwy,Shopping
-77.26005429,38.648597,Restoring Lives Community  Development Corp.,,14045 Jefferson Davis Hwy,Shopping
-77.33789349,38.64804,Freedom Fellowship Church,,4320 Dale Blvd,Shopping
-77.3005206,38.6467044,Christ Chapel,,13909 Smoketown,Shopping
-77.356887,38.645493,Woodbridge Workers,,14186 Logan Ct.,Shopping
-77.268691,38.631351,Salvation Army  ( PW County),,14806 Blackburn Road,Shopping & Direct Distribution
-76.92626039,38.6074686,Faith Alive Foundation,,3799 Old Washington Road,Shopping
-77.31709999,38.570935,General Heiser Boys & Girls Club,,17565 Old Stage Coach Rd,Direct Distributions
-77.328879,38.5685525,Bread & Fishes,,3890 Cameron Street,Shopping & Direct Distribution
-77.327097,38.567593,Church on the Rock Ministries Inc.,,17742 Main St,Shopping
-77.32381479,38.5652818,Grace Christian Church Inc.,,17889  Fraley Blvd,Shopping
-77.32896139,38.5629711,ACTS,,3900 ACTS Lane,Shopping & Direct Distribution
-77.32721189,38.5629466,Mountain of Fire & Miracles Ministries,,10823 Dumfries Plaza,Shopping
-77.32448199,38.555895,Concordia Lutheran Church,,3637 Graham Park Rd.,Shopping
-77.32427799,38.538168,Star Bethlehem Christian Academy,,19068 Bethlehem Church Road,Shopping
-77.667013,38.29542999,St. Francis Catholic Worker,,9631 Peppertree Road,Shopping
